Jtp	1	GND
Jtp	2	FTRIG-0	IO08NDB0V0
Jtp	3	FCNV-0	IO10NDB0V1
Jtp	4	FZX-0	IO08PDB0V0
Jtp	5	FSDO-0	IO10PDB0V1
Jtp	6	DUMP-0	IO14NDB0V1
Jtp	7	FSCK-0	IO16NDB0V1
Jtp	8	GND
Jtp	9	STRIG-0	IO14PDB0V1
Jtp	10	SCNV-0	IO16PDB0V1
Jtp	11	SZX-0	IO18NDB0V2
Jtp	12	SSDO-0	IO18PDB0V2
Jtp	13	SSCK-0	IO24NDB0V2
Jtp	14	OVER-0	IO24PDB0V2
Jtp	15	FULL-0	IO28NDB0V3
Jtp	16	GND
Jtp	17	FTRIG-1	IO46NDB1V0
Jtp	18	FCNV-1	IO46PDB1V0
Jtp	19	FZX-1	IO54NDB1V1
Jtp	20	FSDO-1	IO54PDB1V1
Jtp	21	DUMP-1	IO68NDB1V3
Jtp	22	FSCK-1	IO56NDB1V1
Jtp	23	GND
Jtp	24	STRIG-1	IO68PDB1V3
Jtp	25	SCNV-1	IO56PDB1V1
Jtp	26	SZX-1	IO72PDB1V3
Jtp	27	SSDO-1	IO64NDB1V2
Jtp	28	SSCK-1	IO62NDB1V2
Jtp	29	OVER-1	IO64PDB1V2
Jtp	30	FULL-1	IO72NDB1V3
Jtp	31	GND
Jtp	32	\_ID2	IO158NPB4V0
Jtp	33	\_ID1	IO162PDB4V1
Jtp	34	\_ID0	IO162NDB4V1
Jtp	35	\_SYNC	IO168PDB4V1
Jtp	36	GND
Jtp	37	SCLK	IO168NDB4V1
Jtp	38	DIN	IO172PDB4V2
Jtp	39	HVCLK	IO174PDB4V2
Jtp	40	\_PUR	IO174NDB4V2
Jtp	41	GND
Jtp	42	HKEN1	IO198PDB5V0
Jtp	43	HKEN0	IO212PDB5V2
Jtp	44	HK2	IO208PDB5V1
Jtp	45	HK1	IO208NDB5V1
Jtp	46	HK0	IO210PDB5V2
Jtp	47	HCNV	IO210NDB5V2
Jtp	48	HSDO	IO216PDB5V2
Jtp	49	HSCK	IO216NDB5V2
Jtp	50	GND
