HEADER10	unknown	unknown	HEADER10	Digikey	S9169-ND
HEADER26	unknown	unknown	HEADER26	Digikey	S9173-ND
HEADER6	unknown	unknown	HEADER6	Digikey	732-5394-ND
HEADER8	unknown	unknown	HEADER8	Digikey	732-5395-ND
CAPACITOR	0.1uF	10WVDC X7R	0603	Digikey	399-5343-1-ND
CAPACITOR	10uF	10WVDC X7R	0805	Digikey	399-7411-1-ND
HEADER40	unknown	unknown	HEADER40	Digikey	S9175-ND
CONNECTOR_2	unknown	unknown	SIP2N	Digikey	732-5315-ND
TC1411NCOA	unknown	unknown	SO8	Digikey	TC1411NCOA-ND
LVDS_TX	SN65LVDS1DR	unknown	SO8	Digikey	296-46331-1-ND
